campus_nam,stu_city,stu_lat,stu_long,stu_servic,stu_online
Chiniot_Faisalabad,Lahore,31.62765030000,74.28248620000,PTCL,Microsoft Teams
Islamabad,Islamabad/Rawalpindi,33.64677421000,73.05561576000,Jazz,Google Meet
Karachi,Karachi,24.87730620000,67.15910530000,Zong,Zoom
Islamabad,Mansehra,34.33125870000,73.19800090000,Jazz,Zoom
Islamabad,Islamabad/Rawalpindi,33.63675280000,72.92317120000,Ufone,Google Meet
Chiniot_Faisalabad,Ghulle Bajwey Rb116(60km from fsd),31.78977780000,73.36718550000,Zong,Microsoft Teams
Karachi,Karachi,24.96678657000,67.06605027000,Jazz,Google Meet
Islamabad,Islamabad/Rawalpindi,33.60077660000,72.99949090000,Jazz,Google Meet
Karachi,Karachi,24.93639350000,67.04059390000,ufone,Google Meet
Karachi,Karachi,3362207850.00000000000,0.00000000000,Ufone,Google Meet
Chiniot_Faisalabad,Pakpattan,30.35058960000,73.38721440000,Zong,Microsoft Teams
Chiniot_Faisalabad,Lahore,31.60373830000,74.33015320000,Zong,Microsoft Teams
Chiniot_Faisalabad,Lahore,31.58396680000,74.29532020000,Zong,Microsoft Teams
Chiniot_Faisalabad,Daska,32.39306550000,74.23407310000,Telenor,Microsoft Teams
Karachi,Karachi,24.88362620000,67.08334840000,Zong,Google Meet
Karachi,Ghotki,28.02711550000,69.32351230000,Jazz,Zoom
Karachi,Karachi,24.92052630000,67.06414540000,Ufone,Zoom
Karachi,Karachi,24.96439310000,67.11278520000,Zong,Google Meet
Chiniot_Faisalabad,Nankana Sahib,31.46029100000,73.70732960000,Jazz,Zoom
Islamabad,Islamabad/Rawalpindi,3349503640.00000000000,0.00000000000,Ufone,Google Meet
Peshawar,"Topi,Pakistan",34.07725410000,72.62103030000,PTCL,Google Meet
Peshawar,"Piplan ,Mianwali",32.28140110000,71.36462360000,Zong,Google Meet
Islamabad,Islamabad/Rawalpindi,33.53940260000,73.09872990000,Jazz,Google Meet
Peshawar,Mansehra,34.33125870000,73.19800090000,Zong,Google Meet
Islamabad,Islamabad/Rawalpindi,3495680580.00000000000,0.00000000000,Telenor,Zoom
Islamabad,Mandi Bahauddin,3407699923.00000000000,0.00000000000,Telenor,Zoom
Islamabad,Islamabad/Rawalpindi,3165338407.00000000000,0.00000000000,Zong,Google Meet
Karachi,Karachi,24.94783510000,67.06587920000,Jazz,Google Meet
Karachi,Hala,25.79896420000,68.41739720000,Zong,Zoom
Chiniot_Faisalabad,Lahore,31.61357330000,74.29345540000,Zong,Zoom
Islamabad,Bhalwal,32.27408770000,72.92686260000,Telenor,Microsoft Teams
Chiniot_Faisalabad,Chiniot/Faisalabad,31.43974150000,73.10777210000,Jazz,Zoom
Islamabad,Islamabad/Rawalpindi,33.60784650000,73.02134140000,Jazz,Google Meet
Chiniot_Faisalabad,Sheikhupura,31.75274293000,73.80347735000,Zong,Microsoft Teams
Chiniot_Faisalabad,Lahore,31.31430650000,74.20325810000,PTCL,Zoom
Islamabad,Havelian,34.02275766000,73.14312557000,Zong,Zoom
Karachi,Karachi,24.85854590000,67.20835960000,PTCL,Zoom
Peshawar,Lahore,31.53503390000,74.28688680000,Ufone,Google Meet
Islamabad,Lalamusa,32.71625620000,73.94121250000,Ufone,Google Meet
Karachi,Sukkur,27.72435630000,68.82280820000,Telenor,Zoom
Islamabad,Sialkot,32.49768600000,74.53115210000,Zong,Zoom
Karachi,Karachi,24.95674940000,67.06800170000,Ufone,Zoom
Karachi,Karachi,24.87657170000,67.18293410000,Zong,Google Meet
Chiniot_Faisalabad,Lahore,31.50242070000,74.24874510000,PTCL,Microsoft Teams
Karachi,Karachi,3362820822.00000000000,0.00000000000,Ufone,Zoom
Islamabad,Karachi,24.86831895000,67.05447678000,Jazz,Zoom
Islamabad,Islamabad/Rawalpindi,33.59582710000,73.13422290000,Zong,Zoom
Karachi,Karachi,24.86880860000,67.36168950000,Ufone,Zoom
Islamabad,Dadu (Sindh),26.73715950000,67.77044230000,Zong,Zoom
Karachi,Karachi,24.92747290000,67.06412650000,Ufone,Zoom
Karachi,Karachi,24.90567210000,67.08592790000,Jazz,Zoom
Chiniot_Faisalabad,"Village Sabu Bhadiyar, Tehsil Pasrur, District Sialkot",32.13358196000,74.63179067000,Ufone,Zoom
Chiniot_Faisalabad,Chiniot/Faisalabad,31.39336470000,73.10432040000,PTCL,Microsoft Teams
Islamabad,Islamabad/Rawalpindi,33.64426070000,73.06384540000,Telenor,Google Meet
Chiniot_Faisalabad,"53 d, Dipalpur",30.60514165000,73.52731374000,Zong,Microsoft Teams
Islamabad,Lahore,3324483408.00000000000,0.00000000000,PTCL,Google Meet
Karachi,Karachi,25.00579640000,66.82010920000,Telenor,Zoom
